name,date,value
SSR RSI Smoothed,2014-05-13,
SSR RSI Smoothed,2014-05-14,
SSR RSI Smoothed,2014-05-15,
SSR RSI Smoothed,2014-05-16,
SSR RSI Smoothed,2014-05-17,
SSR RSI Smoothed,2014-05-18,
SSR RSI Smoothed,2014-05-19,
SSR RSI Smoothed,2014-05-20,
SSR RSI Smoothed,2014-05-21,
SSR RSI Smoothed,2014-05-22,
SSR RSI Smoothed,2014-05-23,
SSR RSI Smoothed,2014-05-24,
SSR RSI Smoothed,2014-05-25,
SSR RSI Smoothed,2014-05-26,
SSR RSI Smoothed,2014-05-27,
SSR RSI Smoothed,2014-05-28,
SSR RSI Smoothed,2014-05-29,
SSR RSI Smoothed,2014-05-30,
SSR RSI Smoothed,2014-05-31,
SSR RSI Smoothed,2014-06-01,
SSR RSI Smoothed,2014-06-02,
SSR RSI Smoothed,2014-06-03,
SSR RSI Smoothed,2014-06-04,
SSR RSI Smoothed,2014-06-05,
SSR RSI Smoothed,2014-06-06,
SSR RSI Smoothed,2014-06-07,
SSR RSI Smoothed,2014-06-08,
SSR RSI Smoothed,2014-06-09,
SSR RSI Smoothed,2014-06-10,
SSR RSI Smoothed,2014-06-11,
SSR RSI Smoothed,2014-06-12,
SSR RSI Smoothed,2014-06-13,
SSR RSI Smoothed,2014-06-14,
SSR RSI Smoothed,2014-06-15,
SSR RSI Smoothed,2014-06-16,
SSR RSI Smoothed,2014-06-17,
SSR RSI Smoothed,2014-06-18,
SSR RSI Smoothed,2014-06-19,
SSR RSI Smoothed,2014-06-20,
SSR RSI Smoothed,2014-06-21,
SSR RSI Smoothed,2014-06-22,
SSR RSI Smoothed,2014-06-23,
SSR RSI Smoothed,2014-06-24,
SSR RSI Smoothed,2014-06-25,
SSR RSI Smoothed,2014-06-26,
SSR RSI Smoothed,2014-06-27,
SSR RSI Smoothed,2014-06-28,
SSR RSI Smoothed,2014-06-29,
SSR RSI Smoothed,2014-06-30,
SSR RSI Smoothed,2014-07-01,
SSR RSI Smoothed,2014-07-02,
SSR RSI Smoothed,2014-07-03,
SSR RSI Smoothed,2014-07-04,
SSR RSI Smoothed,2014-07-05,
SSR RSI Smoothed,2014-07-06,
SSR RSI Smoothed,2014-07-07,
SSR RSI Smoothed,2014-07-08,
SSR RSI Smoothed,2014-07-09,
SSR RSI Smoothed,2014-07-10,
SSR RSI Smoothed,2014-07-11,
SSR RSI Smoothed,2014-07-12,
SSR RSI Smoothed,2014-07-13,
SSR RSI Smoothed,2014-07-14,
SSR RSI Smoothed,2014-07-15,
SSR RSI Smoothed,2014-07-16,
SSR RSI Smoothed,2014-07-17,
SSR RSI Smoothed,2014-07-18,
SSR RSI Smoothed,2014-07-19,
SSR RSI Smoothed,2014-07-20,
SSR RSI Smoothed,2014-07-21,
SSR RSI Smoothed,2014-07-22,
SSR RSI Smoothed,2014-07-23,
SSR RSI Smoothed,2014-07-24,
SSR RSI Smoothed,2014-07-25,
SSR RSI Smoothed,2014-07-26,
SSR RSI Smoothed,2014-07-27,
SSR RSI Smoothed,2014-07-28,
SSR RSI Smoothed,2014-07-29,
SSR RSI Smoothed,2014-07-30,
SSR RSI Smoothed,2014-07-31,
SSR RSI Smoothed,2014-08-01,
SSR RSI Smoothed,2014-08-02,
SSR RSI Smoothed,2014-08-03,
SSR RSI Smoothed,2014-08-04,
SSR RSI Smoothed,2014-08-05,
SSR RSI Smoothed,2014-08-06,
SSR RSI Smoothed,2014-08-07,
SSR RSI Smoothed,2014-08-08,
SSR RSI Smoothed,2014-08-09,
SSR RSI Smoothed,2014-08-10,
SSR RSI Smoothed,2014-08-11,
SSR RSI Smoothed,2014-08-12,
SSR RSI Smoothed,2014-08-13,
SSR RSI Smoothed,2014-08-14,
SSR RSI Smoothed,2014-08-15,
SSR RSI Smoothed,2014-08-16,
SSR RSI Smoothed,2014-08-17,
SSR RSI Smoothed,2014-08-18,
SSR RSI Smoothed,2014-08-19,
SSR RSI Smoothed,2014-08-20,
SSR RSI Smoothed,2014-08-21,
SSR RSI Smoothed,2014-08-22,
SSR RSI Smoothed,2014-08-23,
SSR RSI Smoothed,2014-08-24,
SSR RSI Smoothed,2014-08-25,
SSR RSI Smoothed,2014-08-26,
SSR RSI Smoothed,2014-08-27,
SSR RSI Smoothed,2014-08-28,
SSR RSI Smoothed,2014-08-29,
SSR RSI Smoothed,2014-08-30,
SSR RSI Smoothed,2014-08-31,
SSR RSI Smoothed,2014-09-01,
SSR RSI Smoothed,2014-09-02,
SSR RSI Smoothed,2014-09-03,
SSR RSI Smoothed,2014-09-04,
SSR RSI Smoothed,2014-09-05,
SSR RSI Smoothed,2014-09-06,
SSR RSI Smoothed,2014-09-07,
SSR RSI Smoothed,2014-09-08,
SSR RSI Smoothed,2014-09-09,
SSR RSI Smoothed,2014-09-10,
SSR RSI Smoothed,2014-09-11,
SSR RSI Smoothed,2014-09-12,
SSR RSI Smoothed,2014-09-13,
SSR RSI Smoothed,2014-09-14,
SSR RSI Smoothed,2014-09-15,
SSR RSI Smoothed,2014-09-16,
SSR RSI Smoothed,2014-09-17,
SSR RSI Smoothed,2014-09-18,
SSR RSI Smoothed,2014-09-19,
SSR RSI Smoothed,2014-09-20,
SSR RSI Smoothed,2014-09-21,
SSR RSI Smoothed,2014-09-22,
SSR RSI Smoothed,2014-09-23,
SSR RSI Smoothed,2014-09-24,
SSR RSI Smoothed,2014-09-25,
SSR RSI Smoothed,2014-09-26,
SSR RSI Smoothed,2014-09-27,
SSR RSI Smoothed,2014-09-28,
SSR RSI Smoothed,2014-09-29,
SSR RSI Smoothed,2014-09-30,
SSR RSI Smoothed,2014-10-01,
SSR RSI Smoothed,2014-10-02,
SSR RSI Smoothed,2014-10-03,
SSR RSI Smoothed,2014-10-04,
SSR RSI Smoothed,2014-10-05,
SSR RSI Smoothed,2014-10-06,
SSR RSI Smoothed,2014-10-07,
SSR RSI Smoothed,2014-10-08,
SSR RSI Smoothed,2014-10-09,
SSR RSI Smoothed,2014-10-10,
SSR RSI Smoothed,2014-10-11,
SSR RSI Smoothed,2014-10-12,
SSR RSI Smoothed,2014-10-13,
SSR RSI Smoothed,2014-10-14,
SSR RSI Smoothed,2014-10-15,
SSR RSI Smoothed,2014-10-16,
SSR RSI Smoothed,2014-10-17,
SSR RSI Smoothed,2014-10-18,
SSR RSI Smoothed,2014-10-19,
SSR RSI Smoothed,2014-10-20,
SSR RSI Smoothed,2014-10-21,
SSR RSI Smoothed,2014-10-22,
SSR RSI Smoothed,2014-10-23,
SSR RSI Smoothed,2014-10-24,
SSR RSI Smoothed,2014-10-25,
SSR RSI Smoothed,2014-10-26,
SSR RSI Smoothed,2014-10-27,
SSR RSI Smoothed,2014-10-28,
SSR RSI Smoothed,2014-10-29,
SSR RSI Smoothed,2014-10-30,
SSR RSI Smoothed,2014-10-31,
SSR RSI Smoothed,2014-11-01,
SSR RSI Smoothed,2014-11-02,
SSR RSI Smoothed,2014-11-03,
SSR RSI Smoothed,2014-11-04,
SSR RSI Smoothed,2014-11-05,
SSR RSI Smoothed,2014-11-06,
SSR RSI Smoothed,2014-11-07,
SSR RSI Smoothed,2014-11-08,
SSR RSI Smoothed,2014-11-09,
SSR RSI Smoothed,2014-11-10,
SSR RSI Smoothed,2014-11-11,
SSR RSI Smoothed,2014-11-12,
SSR RSI Smoothed,2014-11-13,
SSR RSI Smoothed,2014-11-14,
SSR RSI Smoothed,2014-11-15,
SSR RSI Smoothed,2014-11-16,
SSR RSI Smoothed,2014-11-17,
SSR RSI Smoothed,2014-11-18,
SSR RSI Smoothed,2014-11-19,
SSR RSI Smoothed,2014-11-20,
SSR RSI Smoothed,2014-11-21,
SSR RSI Smoothed,2014-11-22,
SSR RSI Smoothed,2014-11-23,
SSR RSI Smoothed,2014-11-24,
SSR RSI Smoothed,2014-11-25,
SSR RSI Smoothed,2014-11-26,
SSR RSI Smoothed,2014-11-27,
SSR RSI Smoothed,2014-11-28,
SSR RSI Smoothed,2014-11-29,
SSR RSI Smoothed,2014-11-30,
SSR RSI Smoothed,2014-12-01,
SSR RSI Smoothed,2014-12-02,
SSR RSI Smoothed,2014-12-03,
SSR RSI Smoothed,2014-12-04,
SSR RSI Smoothed,2014-12-05,
SSR RSI Smoothed,2014-12-06,
SSR RSI Smoothed,2014-12-07,
SSR RSI Smoothed,2014-12-08,
SSR RSI Smoothed,2014-12-09,
SSR RSI Smoothed,2014-12-10,
SSR RSI Smoothed,2014-12-11,
SSR RSI Smoothed,2014-12-12,
SSR RSI Smoothed,2014-12-13,
SSR RSI Smoothed,2014-12-14,
SSR RSI Smoothed,2014-12-15,
SSR RSI Smoothed,2014-12-16,
SSR RSI Smoothed,2014-12-17,
SSR RSI Smoothed,2014-12-18,
SSR RSI Smoothed,2014-12-19,
SSR RSI Smoothed,2014-12-20,
SSR RSI Smoothed,2014-12-21,
SSR RSI Smoothed,2014-12-22,
SSR RSI Smoothed,2014-12-23,
SSR RSI Smoothed,2014-12-24,
SSR RSI Smoothed,2014-12-25,
SSR RSI Smoothed,2014-12-26,
SSR RSI Smoothed,2014-12-27,
SSR RSI Smoothed,2014-12-28,
SSR RSI Smoothed,2014-12-29,
SSR RSI Smoothed,2014-12-30,
SSR RSI Smoothed,2014-12-31,
SSR RSI Smoothed,2015-01-01,
SSR RSI Smoothed,2015-01-02,
SSR RSI Smoothed,2015-01-03,
SSR RSI Smoothed,2015-01-04,
SSR RSI Smoothed,2015-01-05,
SSR RSI Smoothed,2015-01-06,
SSR RSI Smoothed,2015-01-07,
SSR RSI Smoothed,2015-01-08,
SSR RSI Smoothed,2015-01-09,
SSR RSI Smoothed,2015-01-10,
SSR RSI Smoothed,2015-01-11,
SSR RSI Smoothed,2015-01-12,
SSR RSI Smoothed,2015-01-13,
SSR RSI Smoothed,2015-01-14,
SSR RSI Smoothed,2015-01-15,
SSR RSI Smoothed,2015-01-16,
SSR RSI Smoothed,2015-01-17,
SSR RSI Smoothed,2015-01-18,
SSR RSI Smoothed,2015-01-19,
SSR RSI Smoothed,2015-01-20,
SSR RSI Smoothed,2015-01-21,
SSR RSI Smoothed,2015-01-22,
SSR RSI Smoothed,2015-01-23,
SSR RSI Smoothed,2015-01-24,
SSR RSI Smoothed,2015-01-25,
SSR RSI Smoothed,2015-01-26,
SSR RSI Smoothed,2015-01-27,
SSR RSI Smoothed,2015-01-28,
SSR RSI Smoothed,2015-01-29,
SSR RSI Smoothed,2015-01-30,
SSR RSI Smoothed,2015-01-31,
SSR RSI Smoothed,2015-02-01,
SSR RSI Smoothed,2015-02-02,
SSR RSI Smoothed,2015-02-03,
SSR RSI Smoothed,2015-02-04,
SSR RSI Smoothed,2015-02-05,
SSR RSI Smoothed,2015-02-06,
SSR RSI Smoothed,2015-02-07,
SSR RSI Smoothed,2015-02-08,
SSR RSI Smoothed,2015-02-09,
SSR RSI Smoothed,2015-02-10,
SSR RSI Smoothed,2015-02-11,
SSR RSI Smoothed,2015-02-12,
SSR RSI Smoothed,2015-02-13,
SSR RSI Smoothed,2015-02-14,
SSR RSI Smoothed,2015-02-15,
SSR RSI Smoothed,2015-02-16,
SSR RSI Smoothed,2015-02-17,
SSR RSI Smoothed,2015-02-18,
SSR RSI Smoothed,2015-02-19,
SSR RSI Smoothed,2015-02-20,
SSR RSI Smoothed,2015-02-21,
SSR RSI Smoothed,2015-02-22,
SSR RSI Smoothed,2015-02-23,
SSR RSI Smoothed,2015-02-24,
SSR RSI Smoothed,2015-02-25,
SSR RSI Smoothed,2015-02-26,
SSR RSI Smoothed,2015-02-27,
SSR RSI Smoothed,2015-02-28,
SSR RSI Smoothed,2015-03-01,
SSR RSI Smoothed,2015-03-02,
SSR RSI Smoothed,2015-03-03,
SSR RSI Smoothed,2015-03-04,
SSR RSI Smoothed,2015-03-05,
SSR RSI Smoothed,2015-03-06,
SSR RSI Smoothed,2015-03-07,
SSR RSI Smoothed,2015-03-08,
SSR RSI Smoothed,2015-03-09,
SSR RSI Smoothed,2015-03-10,
SSR RSI Smoothed,2015-03-11,
SSR RSI Smoothed,2015-03-12,
SSR RSI Smoothed,2015-03-13,
SSR RSI Smoothed,2015-03-14,
SSR RSI Smoothed,2015-03-15,
SSR RSI Smoothed,2015-03-16,
SSR RSI Smoothed,2015-03-17,
SSR RSI Smoothed,2015-03-18,
SSR RSI Smoothed,2015-03-19,
SSR RSI Smoothed,2015-03-20,
SSR RSI Smoothed,2015-03-21,
SSR RSI Smoothed,2015-03-22,
SSR RSI Smoothed,2015-03-23,
SSR RSI Smoothed,2015-03-24,
SSR RSI Smoothed,2015-03-25,
SSR RSI Smoothed,2015-03-26,
SSR RSI Smoothed,2015-03-27,
SSR RSI Smoothed,2015-03-28,
SSR RSI Smoothed,2015-03-29,
SSR RSI Smoothed,2015-03-30,
SSR RSI Smoothed,2015-03-31,
SSR RSI Smoothed,2015-04-01,
SSR RSI Smoothed,2015-04-02,
SSR RSI Smoothed,2015-04-03,
SSR RSI Smoothed,2015-04-04,
SSR RSI Smoothed,2015-04-05,
SSR RSI Smoothed,2015-04-06,
SSR RSI Smoothed,2015-04-07,
SSR RSI Smoothed,2015-04-08,
SSR RSI Smoothed,2015-04-09,
SSR RSI Smoothed,2015-04-10,
SSR RSI Smoothed,2015-04-11,
SSR RSI Smoothed,2015-04-12,
SSR RSI Smoothed,2015-04-13,
SSR RSI Smoothed,2015-04-14,
SSR RSI Smoothed,2015-04-15,
SSR RSI Smoothed,2015-04-16,
SSR RSI Smoothed,2015-04-17,
SSR RSI Smoothed,2015-04-18,
SSR RSI Smoothed,2015-04-19,
SSR RSI Smoothed,2015-04-20,
SSR RSI Smoothed,2015-04-21,
SSR RSI Smoothed,2015-04-22,
SSR RSI Smoothed,2015-04-23,
SSR RSI Smoothed,2015-04-24,
SSR RSI Smoothed,2015-04-25,
SSR RSI Smoothed,2015-04-26,
SSR RSI Smoothed,2015-04-27,
SSR RSI Smoothed,2015-04-28,
SSR RSI Smoothed,2015-04-29,
SSR RSI Smoothed,2015-04-30,
SSR RSI Smoothed,2015-05-01,
SSR RSI Smoothed,2015-05-02,
SSR RSI Smoothed,2015-05-03,
SSR RSI Smoothed,2015-05-04,
SSR RSI Smoothed,2015-05-05,
SSR RSI Smoothed,2015-05-06,
SSR RSI Smoothed,2015-05-07,84.88317438147521
SSR RSI Smoothed,2015-05-08,86.5652428722877
SSR RSI Smoothed,2015-05-09,87.28426974987276
SSR RSI Smoothed,2015-05-10,87.74469313238573
SSR RSI Smoothed,2015-05-11,88.2706741361149
SSR RSI Smoothed,2015-05-12,88.7521419714186
SSR RSI Smoothed,2015-05-13,88.30897782868271
SSR RSI Smoothed,2015-05-14,88.14564351740843
SSR RSI Smoothed,2015-05-15,88.16274319366666
SSR RSI Smoothed,2015-05-16,88.23313467038749
SSR RSI Smoothed,2015-05-17,88.41394597479524
SSR RSI Smoothed,2015-05-18,82.16851106855238
SSR RSI Smoothed,2015-05-19,76.96397368198566
SSR RSI Smoothed,2015-05-20,72.66983481046671
SSR RSI Smoothed,2015-05-21,69.08990448273377
SSR RSI Smoothed,2015-05-22,66.19147961556872
SSR RSI Smoothed,2015-05-23,63.70027689069898
SSR RSI Smoothed,2015-05-24,61.6413164988223
SSR RSI Smoothed,2015-05-25,59.809312721953745
SSR RSI Smoothed,2015-05-26,58.26896395401219
SSR RSI Smoothed,2015-05-27,57.00359780962993
SSR RSI Smoothed,2015-05-28,55.9697002541806
SSR RSI Smoothed,2015-05-29,55.142490381032694
SSR RSI Smoothed,2015-05-30,54.4021810775113
SSR RSI Smoothed,2015-05-31,53.77590528528806
SSR RSI Smoothed,2015-06-01,53.173059009233874
SSR RSI Smoothed,2015-06-02,52.836257027340224
SSR RSI Smoothed,2015-06-03,52.663635629714996
SSR RSI Smoothed,2015-06-04,52.60065066571931
SSR RSI Smoothed,2015-06-05,52.71893304034814
SSR RSI Smoothed,2015-06-06,52.97311076846746
SSR RSI Smoothed,2015-06-07,53.29691219721208
SSR RSI Smoothed,2015-06-08,53.83958409634142
SSR RSI Smoothed,2015-06-09,54.463263711466205
SSR RSI Smoothed,2015-06-10,55.13395399073144
SSR RSI Smoothed,2015-06-11,55.88216472469535
SSR RSI Smoothed,2015-06-12,56.68622702389651
SSR RSI Smoothed,2015-06-13,57.57778554934974
SSR RSI Smoothed,2015-06-14,58.49076743141641
SSR RSI Smoothed,2015-06-15,59.472372114715434
SSR RSI Smoothed,2015-06-16,60.575986580985116
SSR RSI Smoothed,2015-06-17,61.645820481722744
SSR RSI Smoothed,2015-06-18,62.71259334743602
SSR RSI Smoothed,2015-06-19,63.745090357567456
SSR RSI Smoothed,2015-06-20,64.77372694739257
SSR RSI Smoothed,2015-06-21,65.78509778287265
SSR RSI Smoothed,2015-06-22,66.79486816558222
SSR RSI Smoothed,2015-06-23,67.77900181876323
SSR RSI Smoothed,2015-06-24,68.7356029286509
SSR RSI Smoothed,2015-06-25,69.68441276669088
SSR RSI Smoothed,2015-06-26,70.61719464273686
SSR RSI Smoothed,2015-06-27,71.54713924263754
SSR RSI Smoothed,2015-06-28,72.4486928711119
SSR RSI Smoothed,2015-06-29,73.33718693269259
SSR RSI Smoothed,2015-06-30,74.20754662214154
SSR RSI Smoothed,2015-07-01,75.04607047430454
SSR RSI Smoothed,2015-07-02,75.85716275783051
SSR RSI Smoothed,2015-07-03,76.6453137228971
SSR RSI Smoothed,2015-07-04,77.41179802151339
SSR RSI Smoothed,2015-07-05,78.15851675067167
SSR RSI Smoothed,2015-07-06,78.8793980837982
SSR RSI Smoothed,2015-07-07,79.57546702432795
SSR RSI Smoothed,2015-07-08,80.24981274622975
SSR RSI Smoothed,2015-07-09,80.9013743355476
SSR RSI Smoothed,2015-07-10,81.53378887564662
SSR RSI Smoothed,2015-07-11,82.1454062931949
SSR RSI Smoothed,2015-07-12,82.73709256461076
SSR RSI Smoothed,2015-07-13,83.30659969739801
SSR RSI Smoothed,2015-07-14,83.8560955008805
SSR RSI Smoothed,2015-07-15,84.38649689960293
SSR RSI Smoothed,2015-07-16,84.89826050902626
SSR RSI Smoothed,2015-07-17,85.39245993929958
SSR RSI Smoothed,2015-07-18,85.86952193377667
SSR RSI Smoothed,2015-07-19,86.33009989002372
SSR RSI Smoothed,2015-07-20,86.7748159159035
SSR RSI Smoothed,2015-07-21,87.20411479379194
SSR RSI Smoothed,2015-07-22,87.61850875210936
SSR RSI Smoothed,2015-07-23,88.01848860592752
SSR RSI Smoothed,2015-07-24,88.40460643764747
SSR RSI Smoothed,2015-07-25,88.77733471084174
SSR RSI Smoothed,2015-07-26,89.13700663741174
SSR RSI Smoothed,2015-07-27,89.48414679331626
SSR RSI Smoothed,2015-07-28,89.81924483470068
SSR RSI Smoothed,2015-07-29,90.08074481279739
SSR RSI Smoothed,2015-07-30,90.32130276197574
SSR RSI Smoothed,2015-07-31,90.51182219702898
SSR RSI Smoothed,2015-08-01,90.65835681128715
SSR RSI Smoothed,2015-08-02,90.80066411507202
SSR RSI Smoothed,2015-08-03,90.93830879259261
SSR RSI Smoothed,2015-08-04,91.07451308133894
SSR RSI Smoothed,2015-08-05,91.15489931548996
SSR RSI Smoothed,2015-08-06,91.17340222864343
SSR RSI Smoothed,2015-08-07,91.19301643417403
SSR RSI Smoothed,2015-08-08,90.86312315038771
SSR RSI Smoothed,2015-08-09,90.56760625004861
SSR RSI Smoothed,2015-08-10,90.26552675229253
SSR RSI Smoothed,2015-08-11,90.0062627346721
SSR RSI Smoothed,2015-08-12,89.70041275982761
SSR RSI Smoothed,2015-08-13,89.34520474628829
SSR RSI Smoothed,2015-08-14,89.01696632142898
SSR RSI Smoothed,2015-08-15,88.61459874378507
SSR RSI Smoothed,2015-08-16,88.16827238498449
SSR RSI Smoothed,2015-08-17,87.72806264883363
SSR RSI Smoothed,2015-08-18,86.58608708971698
SSR RSI Smoothed,2015-08-19,85.60002294960036
SSR RSI Smoothed,2015-08-20,84.74457550609979
SSR RSI Smoothed,2015-08-21,83.88567249239159
SSR RSI Smoothed,2015-08-22,83.02961256081505
SSR RSI Smoothed,2015-08-23,82.17803420920502
SSR RSI Smoothed,2015-08-24,81.1133497850619
SSR RSI Smoothed,2015-08-25,80.23888950282812
SSR RSI Smoothed,2015-08-26,79.44494529616605
SSR RSI Smoothed,2015-08-27,78.66636013134669
SSR RSI Smoothed,2015-08-28,78.01744522670975
SSR RSI Smoothed,2015-08-29,77.35733221425608
SSR RSI Smoothed,2015-08-30,76.71306450747065
SSR RSI Smoothed,2015-08-31,76.12332200398494
SSR RSI Smoothed,2015-09-01,75.50839504680583
SSR RSI Smoothed,2015-09-02,74.95224891646386
SSR RSI Smoothed,2015-09-03,74.37297680071546
SSR RSI Smoothed,2015-09-04,73.8972678801818
SSR RSI Smoothed,2015-09-05,73.52823639212637
SSR RSI Smoothed,2015-09-06,73.25751489656
SSR RSI Smoothed,2015-09-07,73.0031877822506
SSR RSI Smoothed,2015-09-08,72.8227735447704
SSR RSI Smoothed,2015-09-09,72.50757674301903
SSR RSI Smoothed,2015-09-10,72.21456618071764
SSR RSI Smoothed,2015-09-11,71.98100947474222
SSR RSI Smoothed,2015-09-12,71.63389038189045
SSR RSI Smoothed,2015-09-13,71.1470705955599
SSR RSI Smoothed,2015-09-14,70.70003863635377
SSR RSI Smoothed,2015-09-15,70.27265328991366
SSR RSI Smoothed,2015-09-16,69.83953719930206
SSR RSI Smoothed,2015-09-17,69.54721773165653
SSR RSI Smoothed,2015-09-18,69.28597492965524
SSR RSI Smoothed,2015-09-19,69.03359187476933
SSR RSI Smoothed,2015-09-20,68.78988432765534
SSR RSI Smoothed,2015-09-21,68.39722329686022
SSR RSI Smoothed,2015-09-22,68.16062188381021
SSR RSI Smoothed,2015-09-23,67.9444428365032
SSR RSI Smoothed,2015-09-24,67.87328230363258
SSR RSI Smoothed,2015-09-25,67.85954432670152
SSR RSI Smoothed,2015-09-26,67.84930609008067
SSR RSI Smoothed,2015-09-27,67.82593930974961
SSR RSI Smoothed,2015-09-28,67.98856271636092
SSR RSI Smoothed,2015-09-29,68.05802750678944
SSR RSI Smoothed,2015-09-30,68.13566020259535
SSR RSI Smoothed,2015-10-01,68.27058294983998
SSR RSI Smoothed,2015-10-02,68.41981756313095
SSR RSI Smoothed,2015-10-03,68.62831421252758
SSR RSI Smoothed,2015-10-04,68.84475664010951
SSR RSI Smoothed,2015-10-05,69.1050226195739
